sample	batchname	condition	histology	timepoint	adj.timepoint	length.mm	weight.g
SI16_1G	SI16	T	TPM	0	0	225	175.7
SI16_21G	SI16	C	F	50	0	172	72.6
SI16_22G	SI16	T	MT	50	20	178	80
SI16_23G	SI16	C	F	50	0	173	68.9
SI16_2G	SI16	T	TPM	0	0	220	165.8
SI16_3G	SI16	T	TPM	0	0	215	130.3
SI18_15G	SI18	T	MT	51	51	158	53.1
SI18_16G	SI18	T	MT	51	51	138	26
SI18_18G	SI18	T	MT	51	51	178	60.8
SI18_22G	SI18	T	MT	51	51	160	56.5
SI18_30G	SI18	T	F	61	61	170	67
SI18_47G	SI18	C	TPM	117	117	175	82.1
SI18_48G	SI18	C	F	117	117	170	71.4
SI18_49G	SI18	C	TPM	117	117	178	81.7
SI18_52G	SI18	C	F	117	117	161	56.3
