SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117820358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813751	0	0	0	0	0	5	0	0	0	0	723	346	482	140	33
ccdc51	55	62	63	46	93	57	83	52	61	85	241	181	175	190	103
tma7	1256	2246	1492	1870	1664	2506	1514	1322	1053	1129	3262	3098	3050	2336	2245
LOC117815572	2	1	2	1	1	11	1	3	0	4	3	3	22	30	15
LOC117818779	0	1	0	0	0	2	2	2	0	1	0	3	0	16	0
LOC117818773	4	3	7	92	11	773	12	3	3	3	259	189	1290	918	833
LOC117832729	25	54	9	12	13	107	3	15	8	8	8	11	12	98	73
LOC117818116	86	282	33	81	65	2405	255	626	374	263	450	1255	2827	3771	3004
eif4ba	3117	1841	2494	3100	3042	1008	1387	561	663	1546	944	853	1606	1567	820
LOC117823154	11	13	6	5	13	31	11	2	6	11	497	376	203	162	73
LOC117822931	4	10	1	2	2	26	5	1	3	2	110	85	157	104	32
twist3	3	1	0	2	1	0	0	0	0	0	3	3	5	19	2
LOC117821010	213	218	100	179	166	213	110	41	102	98	59	74	140	202	119
LOC117815809	316	415	120	166	145	224	32	17	18	34	180	178	314	330	221
phf13	106	135	38	44	37	85	18	9	15	17	239	158	209	288	110
LOC117823232	15	25	9	8	9	30	12	6	4	7	27	28	78	118	44
LOC117814473	1	2	2	3	0	2	1	0	4	0	37	25	38	107	29
LOC117815792	0	7	19	0	12	0	0	0	0	0	0	1	0	5	4
si:ch211-160o17.4	1097	962	967	792	1602	380	551	90	110	392	469	328	323	325	172
LOC117812448	1	1	0	0	0	1	1	1	0	0	6	6	4	15	4
ube2j2	981	1121	679	581	801	691	373	217	107	400	2471	2015	2243	830	483
LOC117823012	72	28	1	1	5	56	1	2	1	1	30	29	49	145	49
pusl1	16	28	31	15	13	30	26	22	33	19	11	17	30	64	8
ddx19	1426	1634	1031	1148	1256	927	475	272	223	652	456	494	735	570	419
si:dkey-33m11.6	452	532	212	116	270	222	118	30	13	97	19	6	14	104	53
LOC117818542	0	0	0	0	0	1	0	0	0	0	10	7	4	7	8
LOC117830043	0	4	0	0	0	0	0	0	0	0	12	1	4	9	1
LOC117816451	0	0	1	0	1	5	2	3	1	1	4	5	7	35	12
cdab	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0
dnajc16l	133	120	99	108	149	126	81	32	34	78	995	558	356	195	140
b3galt6	84	48	31	31	61	28	4	1	7	6	37	19	24	49	15
tmem167b	211	267	117	185	140	298	70	36	42	90	304	288	231	330	187
mapk14b	131	181	34	44	35	162	40	27	30	25	126	159	338	295	223
srpk1b	1049	955	715	919	824	874	430	149	236	447	893	676	1321	1373	699
lhfpl5a	0	0	0	1	0	4	0	0	0	0	2	0	0	10	5
kif21b	7	3	4	2	1	13	2	0	1	1	52	35	94	22	4
LOC117818704	1	0	0	2	0	0	0	0	0	0	1	1	1	5	1
cpne5b	5	2	6	1	3	7	1	3	0	0	5	7	5	63	2
LOC117816636	1	0	0	0	0	2	0	0	0	0	1	4	4	22	5
LOC117822952	547	527	371	274	406	312	288	94	65	184	278	265	303	292	194
gnl3	3412	2940	3995	3601	3620	2801	2811	1782	1261	2995	636	806	1310	1107	686
LOC117823377	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
LOC117823382	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC117823367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glt8d1	32	39	4	34	6	32	0	5	4	4	29	65	31	59	54
spcs1	703	1468	1015	937	1298	1544	1013	860	642	929	450	662	633	511	454
nek4	95	106	86	83	84	121	57	27	28	83	930	759	475	321	169
camk1b	29	68	84	21	33	120	48	40	15	54	117	82	93	123	38
ccdc3b	0	1	0	0	0	2	0	0	0	1	0	1	3	9	4
trnar-acg	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
vamp3	1130	1246	670	480	419	1245	360	340	344	230	2755	2097	1648	1275	1027
per3	513	473	386	346	474	257	53	20	25	70	1122	964	757	378	237
LOC117823310	4	16	3	12	8	67	17	16	19	19	5	6	15	118	42
trnae-uuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
psma5	1698	3000	1354	1593	1261	4194	1118	1092	1101	1284	2006	2027	2238	1681	1553
LOC117819612	62	60	14	13	16	72	19	21	18	13	336	220	498	965	546
mdm4	208	266	126	174	148	336	69	53	80	46	982	860	984	1039	550
myog	0	0	1	1	0	3	1	0	2	1	10	6	32	164	51
ppfia4	4	3	3	8	1	12	0	2	4	0	29	19	54	68	40
