Symbol	GOs
LOC117820358	GO:0046983
LOC117813751	NA
ccdc51	NA
tma7	NA
LOC117815572	GO:0005615,GO:0030280,GO:0031424,GO:0045095,GO:0045095,GO:0045109
LOC117818779	GO:0005615,GO:0030280,GO:0031424,GO:0045095,GO:0045095,GO:0045109
LOC117818773	GO:0005615,GO:0030280,GO:0031424,GO:0045095,GO:0045095,GO:0045109
LOC117832729	GO:0005615,GO:0030280,GO:0031424,GO:0045095,GO:0045095,GO:0045109
LOC117818116	GO:0005198,GO:0005198,GO:0045095,GO:0045104
eif4ba	GO:0003723
LOC117823154	GO:0000122,GO:0004879,GO:0004879,GO:0005634,GO:0008270,GO:0030154,GO:0045944,GO:0070644
LOC117822931	GO:0000118,GO:0000122,GO:0004407,GO:0004407,GO:0006325,GO:0016575,GO:0016575
twist3	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
LOC117821010	GO:0005765,GO:0005886,GO:0015232,GO:0015232,GO:0015886,GO:0015886,GO:0020037
LOC117815809	NA
phf13	GO:0003682,GO:0007076
LOC117823232	GO:0042407
LOC117814473	GO:0003690,GO:0003712,GO:0005515,GO:0005634,GO:0006357
LOC117815792	NA
si:ch211-160o17.4	GO:0004674,GO:0004713,GO:0005524,GO:0005634,GO:0005737,GO:0007224,GO:0016605,GO:0018105,GO:0018107,GO:0042771
LOC117812448	GO:0016567,GO:0061630
ube2j2	NA
LOC117823012	GO:0005096,GO:0005096,GO:0005515,GO:0005737
pusl1	GO:0003723,GO:0003723,GO:0009982,GO:0009982,GO:0031119
ddx19	GO:0003723,GO:0003724,GO:0003724,GO:0005524,GO:0005634,GO:0010494,GO:0016973
si:dkey-33m11.6	GO:0006469,GO:0008427,GO:0019901
LOC117818542	GO:0004252,GO:0004252,GO:0005615,GO:0006508,GO:0006508
LOC117830043	NA
LOC117816451	GO:0004252,GO:0004252,GO:0005615,GO:0006508,GO:0006508
cdab	GO:0004126,GO:0004126,GO:0005829,GO:0008270,GO:0008270,GO:0009972,GO:0009972
dnajc16l	NA
b3galt6	GO:0006024,GO:0006486,GO:0006486,GO:0016020,GO:0016020,GO:0035250
tmem167b	NA
mapk14b	GO:0004707,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0035556
srpk1b	GO:0000245,GO:0004672,GO:0005524,GO:0006468,GO:0050684
lhfpl5a	GO:0005886,GO:0007605,GO:0050974
kif21b	GO:0003777,GO:0003777,GO:0005524,GO:0007018,GO:0007018,GO:0007052,GO:0008017
LOC117818704	NA
cpne5b	GO:0005544,GO:0005886,GO:0071277
LOC117816636	GO:0001609,GO:0001609,GO:0001973,GO:0016020,GO:0030425,GO:0045202
LOC117822952	GO:0000978,GO:0003700,GO:0006357
gnl3	GO:0005525,GO:0005730
LOC117823377	NA
LOC117823382	NA
LOC117823367	NA
glt8d1	GO:0005794,GO:0016757
spcs1	GO:0005787,GO:0005787,GO:0005789,GO:0006465,GO:0006465,GO:0045047
nek4	GO:0004672,GO:0004672,GO:0005524,GO:0006468
camk1b	GO:0004683,GO:0005516,GO:0005524,GO:0005622,GO:0018105
ccdc3b	GO:0005576,GO:0010629
trnar-acg	NA
vamp3	GO:0005484,GO:0005886,GO:0006906,GO:0016192,GO:0017075,GO:0031201,GO:0035493
per3	GO:0000122,GO:0000976,GO:0001222,GO:0005634,GO:0005737,GO:0032922,GO:0043153
LOC117823310	GO:0007155,GO:0009986,GO:0016020,GO:0060857
trnae-uuc	NA
psma5	GO:0005634,GO:0005839,GO:0019773,GO:0019773,GO:0043161
LOC117819612	GO:0005515,GO:0005794,GO:0006895,GO:0006897,GO:0016020,GO:0016050
mdm4	GO:0004842,GO:0005634,GO:0016567,GO:0043066,GO:0051726
myog	GO:0000978,GO:0000981,GO:0007517,GO:0045663,GO:0045944,GO:0046983
ppfia4	GO:0005515,GO:0048786,GO:0050808
tmem183a	GO:0005515,GO:0019005,GO:0031647
tfeb	GO:0000978,GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0006959,GO:0045893,GO:0046983
mdfi	NA
foxp4	GO:0000978,GO:0001227,GO:0005634,GO:0006357
fam72a	GO:0005829
srgap2	GO:0005515,GO:0005737,GO:0007165,GO:0030336
LOC117811145	NA
ikbke	GO:0004674,GO:0005524,GO:0005737,GO:0018105
rassf5	GO:0005634,GO:0007165,GO:0007165
dyrk3	GO:0004674,GO:0004712,GO:0005524,GO:0005634,GO:0018105,GO:0018107,GO:0035617,GO:1902751
mapkapk2a	GO:0002224,GO:0004683,GO:0005516,GO:0005524,GO:0005634,GO:0005737,GO:0006954,GO:0009931,GO:0018105,GO:0034097,GO:0035556,GO:0035924,GO:0046777,GO:0048010,GO:0051019
il10	GO:0005125,GO:0005576,GO:0006955
LOC117814475	NA
LOC117823219	NA
il19l	NA
prelp	GO:0005515,GO:0005615
zgc:113307	GO:0005515,GO:0005615
fmoda	GO:0005515,GO:0005615
slc6a14	GO:0015193,GO:0016020,GO:0016020,GO:0035725
LOC117814507	GO:0015193,GO:0016020,GO:0016020,GO:0035725
LOC117814515	GO:0005515
LOC117811815	NA
LOC117811826	GO:0005515
elmo2	GO:0007015,GO:0048870
arfgap1	GO:0000139,GO:0005096,GO:0005096,GO:0030100,GO:0032012
LOC117814544	GO:0005886,GO:0008519,GO:0008519,GO:0072488,GO:0072488,GO:0097272
LOC117817858	GO:0005886,GO:0007165,GO:0019900,GO:0043029,GO:0050863
LOC117819015	GO:0005783,GO:0005789
LOC117814480	GO:0005886,GO:0007399,GO:0007399,GO:1990138
sys1	GO:0000139,GO:0000139,GO:0005802,GO:0006895,GO:0034067,GO:0043001
LOC117815658	GO:0006631,GO:0006637,GO:0006637,GO:0047617
LOC117815684	GO:0005509,GO:0005615,GO:0005634,GO:0005737,GO:0008284,GO:0043123,GO:0044548,GO:0046914,GO:0050786
inpp1	GO:0004441,GO:0046854
dnajc14	GO:0050780
nab2	GO:0003712,GO:0003712,GO:0005634,GO:0005634,GO:0008134,GO:0045892
zgc:113184	NA
LOC117821046	GO:0000978,GO:0004879,GO:0005634,GO:0005634,GO:0005667,GO:0006357,GO:0008270,GO:0035259,GO:0071376
dgkab	GO:0004143,GO:0004143,GO:0005509,GO:0005886,GO:0007205,GO:0035556,GO:0046339,GO:0046834
stx16	GO:0000149,GO:0005484,GO:0005484,GO:0006886,GO:0006886,GO:0006906,GO:0012505,GO:0016020,GO:0016192,GO:0031201,GO:0048278
LOC117817320	GO:0005737,GO:0005829,GO:0016279,GO:0018022
