baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC117820358	0	NA	NA	NA	NA	NA
LOC117813751	72.6581834678076	-9.18329343816711	0.967298121972816	-9.49375712571185	2.2285389359393e-21	4.26247897103361e-20
ccdc51	94.5508265199938	-0.984035698225165	0.375143307865775	-2.6230927690632	0.00871355430212425	0.0153113553421834
tma7	1891.60801986559	-0.13445362250217	0.297960751720592	-0.451246084344197	0.65181219866386	0.699225278590134
LOC117815572	4.59230113966875	-2.57647657634611	0.906197162589114	-2.84317440256026	0.00446666214662047	0.00837164610624475
LOC117818779	1.37836769072078	-2.73535969483604	1.82351025844661	-1.50005171737624	0.133601006436887	0.177922622039332
LOC117818773	179.098486062392	-3.59032242165816	1.30794456372128	-2.74501115815124	0.00605088403142488	0.0109849305902301
LOC117832729	24.2223569967334	-0.366876550170011	0.774048777940038	-0.473970840889863	0.635520700818939	0.684404694023495
LOC117818116	790.841165930815	-3.83374483115562	0.563183355999329	-6.80727651184383	9.94636496927486e-12	7.01646689657481e-11
eif4ba	1645.88570168234	1.80053832428746	0.284675480598988	6.324880247849	2.53429043993605e-10	1.51262080413256e-09
LOC117823154	64.804013087087	-3.85636689748732	0.4891777188235	-7.88336579753081	3.18678398580821e-15	3.32715923120855e-14
LOC117822931	22.5375969553016	-3.94901541228258	0.495738610262209	-7.96592262642977	1.63995535057639e-15	1.77696711710358e-14
twist3	1.51039868553096	-1.33909010329455	1.19572344356924	-1.11989951396901	0.262756585440878	0.321885618143151
LOC117821010	130.1580820782	1.23551383268721	0.273270174617873	4.52121726937412	6.14850405904886e-06	1.91746539414625e-05
LOC117815809	139.458907049773	0.537531823228375	0.324187235455156	1.65809064775078	0.0972991712831968	0.134318169613579
phf13	71.8977773763194	-0.852773844442794	0.284784725846756	-2.9944507799961	0.00274939411375326	0.00535748739887346
LOC117823232	19.5871205635105	-1.44066147971012	0.427373553975541	-3.37096543833541	0.000749052545344528	0.00162652778228676
LOC117814473	10.02058310393	-4.20298914721282	0.73737760368822	-5.69991429925493	1.1986767244848e-08	5.69922835423544e-08
LOC117815792	2.99117921194429	2.67442843186883	1.53028710372421	1.74766449077441	0.0805221409964177	0.113538129176028
si:ch211-160o17.4	558.603294246108	2.32436933030496	0.426739438033794	5.44681162119562	5.12807229783636e-08	2.21734562998297e-07
LOC117812448	1.7536456859565	-3.36925738484156	1.25357683941254	-2.68771508766904	0.00719427522412242	0.0128632299114818
ube2j2	755.759630404271	-0.0307239846414224	0.378180714595527	-0.0812415426161602	0.935249862455228	0.946512710911737
LOC117823012	20.0860780411759	-2.11350301404043	0.863663060551686	-2.44713836978321	0.0143995545863231	0.0241036904084396
pusl1	25.6000100424845	0.417835678891454	0.461771084904067	0.90485457524535	0.365542434586859	0.427701560066611
ddx19	749.870398686347	1.93543879559539	0.210692762658131	9.18607156305516	4.07450100969101e-20	6.91385528218303e-19
si:dkey-33m11.6	140.210200346528	3.76456362623301	0.600124387505765	6.27297224476959	3.5422007009847e-10	2.0720653854456e-09
LOC117818542	1.6105937323639	-4.71548041642787	1.50599205880874	-3.13114560521513	0.00174125805300647	0.00352687464378656
LOC117830043	1.26016069896527	-2.3473053421351	1.79769009712666	-1.30573414510483	0.191642982039957	0.244561093565726
LOC117816451	3.59642851549252	-4.16279540806306	1.1222020413825	-3.70948835820571	0.000207678505937455	0.000499457877759345
cdab	0.440895048644115	-2.07557076890643	3.68329988229854	-0.563508493805068	0.573088677931523	0.626363713873666
dnajc16l	170.325552564864	-1.03388841425859	0.477049597175436	-2.1672556069225	0.030215369451244	0.0470992051645415
b3galt6	24.7704136258384	1.54010896358843	0.42512431953856	3.62272608930043	0.000291514469232966	0.00068103119861196
tmem167b	154.264760087005	0.142903371200986	0.273906686469094	0.521722828468119	0.601863327757548	0.652622554770123
mapk14b	91.642291820176	-0.933877952169569	0.363961923895994	-2.56586717141443	0.0102918231329512	0.0178160279137587
srpk1b	664.768137793599	0.545484013030231	0.207168909778291	2.6330399364171	0.00846243962306042	0.0149042507896737
