GeneID	Length
LOC117804603	280
LOC117804604	4564
LOC117804606	1125
LOC117804610	3459
LOC117804611	1009
LOC117804616	5405
LOC117804620	5818
LOC117804623	85
LOC117804624	69
LOC117804625	72
LOC117804626	74
LOC117804627	134
LOC117804628	94
LOC117804629	187
LOC117804630	141
LOC117804631	91
LOC117804632	91
LOC117804633	90
LOC117804634	154
LOC117804635	153
LOC117804636	84
LOC117804637	84
LOC117804640	862
LOC117804656	2469
LOC117804657	2454
LOC117804658	3649
LOC117804659	2979
LOC117804660	523
LOC117804661	4261
LOC117804665	537
LOC117804666	2519
LOC117804668	3892
LOC117804669	2379
LOC117804670	5823
LOC117804671	4900
LOC117804673	2719
LOC117804675	950
LOC117804676	2128
LOC117804679	5671
LOC117804684	2617
LOC117804685	7774
LOC117804686	3426
LOC117804687	1097
LOC117804688	1628
LOC117804689	1787
LOC117804690	1388
LOC117804692	4174
LOC117804693	1105
LOC117804694	5601
LOC117804696	1588
LOC117804698	203
LOC117804699	2307
LOC117804700	8477
LOC117804701	2221
LOC117804702	4512
LOC117804703	698
LOC117804704	2845
LOC117804705	1926
LOC117804706	1084
LOC117804707	1914
LOC117804708	2010
LOC117804712	2879
LOC117804713	2946
LOC117804714	2882
LOC117804715	942
LOC117804716	2677
LOC117804722	947
LOC117804726	1351
LOC117804729	726
LOC117804730	2400
LOC117804732	1304
LOC117804735	7206
LOC117804740	2242
LOC117804741	3505
LOC117804742	483
LOC117804743	3823
LOC117804748	1018
LOC117804751	1662
LOC117804752	4168
LOC117804753	706
LOC117804757	2482
LOC117804758	272
LOC117804761	1417
LOC117804762	3734
LOC117804763	2367
LOC117804767	1614
LOC117804768	881
LOC117804769	693
LOC117804770	873
LOC117804772	4759
LOC117804773	1485
LOC117804779	2249
LOC117804782	1864
LOC117804783	8032
LOC117804786	308
LOC117804788	5888
LOC117804789	1872
LOC117804796	447
LOC117804797	2079
LOC117804802	4355
LOC117804804	1128
LOC117804805	623
LOC117804809	1027
LOC117804810	1951
LOC117804818	1022
LOC117804823	1674
